Method: LoopBenchmarks::main, Block ID: 22400, Normal Time: 0.007, Slowdown Time: 0.003, Percentage Increase: -57.14285714285714%
Method: LoopBenchmarks::crc32Loop, Block ID: 88, Normal Time: 0.567, Slowdown Time: 1.114, Percentage Increase: 96.47266313932984%
Method: LoopBenchmarks::crc32Loop, Block ID: 25, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 89, Normal Time: 0.539, Slowdown Time: 1.176, Percentage Increase: 118.18181818181816%
Method: LoopBenchmarks::crc32Loop, Block ID: 26, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 90, Normal Time: 0.683, Slowdown Time: 1.03, Percentage Increase: 50.80527086383601%
Method: LoopBenchmarks::crc32Loop, Block ID: 27, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 91, Normal Time: 0.555, Slowdown Time: 1.032, Percentage Increase: 85.94594594594594%
Method: LoopBenchmarks::crc32Loop, Block ID: 92, Normal Time: 0.513, Slowdown Time: 1.226, Percentage Increase: 138.98635477582846%
Method: LoopBenchmarks::crc32Loop, Block ID: 93, Normal Time: 0.614, Slowdown Time: 1.138, Percentage Increase: 85.34201954397392%
Method: LoopBenchmarks::crc32Loop, Block ID: 29, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 94, Normal Time: 0.618, Slowdown Time: 1.094, Percentage Increase: 77.02265372168287%
Method: LoopBenchmarks::crc32Loop, Block ID: 30, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 95, Normal Time: 0.635, Slowdown Time: 1.163, Percentage Increase: 83.14960629921259%
Method: LoopBenchmarks::crc32Loop, Block ID: 96, Normal Time: 0.589, Slowdown Time: 1.098, Percentage Increase: 86.41765704584043%
Method: LoopBenchmarks::crc32Loop, Block ID: 97, Normal Time: 0.583, Slowdown Time: 1.029, Percentage Increase: 76.5008576329331%
Method: LoopBenchmarks::crc32Loop, Block ID: 33, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 98, Normal Time: 0.472, Slowdown Time: 1.048, Percentage Increase: 122.03389830508478%
Method: LoopBenchmarks::crc32Loop, Block ID: 34, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 101, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::crc32Loop, Median Percentage Increase: 86.41765704584043%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 150, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 151, Normal Time: 0.0, Slowdown Time: 0.003, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 152, Normal Time: 0.001, Slowdown Time: 0.003, Percentage Increase: 200.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 155, Normal Time: 0.002, Slowdown Time: 0.003, Percentage Increase: 50.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 156, Normal Time: 0.002, Slowdown Time: 0.001, Percentage Increase: -50.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 157, Normal Time: 0.03, Slowdown Time: 0.028, Percentage Increase: -6.666666666666661%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 158, Normal Time: 0.02, Slowdown Time: 0.012, Percentage Increase: -40.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 159, Normal Time: 0.0, Slowdown Time: 0.012, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 160, Normal Time: 0.026, Slowdown Time: 0.041, Percentage Increase: 57.69230769230771%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 162, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 163, Normal Time: 0.002, Slowdown Time: 0.007, Percentage Increase: 250.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 164, Normal Time: 0.024, Slowdown Time: 0.027, Percentage Increase: 12.499999999999996%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 165, Normal Time: 0.016, Slowdown Time: 0.028, Percentage Increase: 75.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 166, Normal Time: 0.002, Slowdown Time: 0.007, Percentage Increase: 250.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 167, Normal Time: 0.041, Slowdown Time: 0.04, Percentage Increase: -2.4390243902439046%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 168, Normal Time: 0.028, Slowdown Time: 0.032, Percentage Increase: 14.285714285714285%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 169, Normal Time: 0.002, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 171, Normal Time: 0.074, Slowdown Time: 0.072, Percentage Increase: -2.7027027027027053%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 172, Normal Time: 0.005, Slowdown Time: 0.009, Percentage Increase: 79.99999999999999%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 174, Normal Time: 0.07, Slowdown Time: 0.075, Percentage Increase: 7.142857142857128%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 175, Normal Time: 0.013, Slowdown Time: 0.025, Percentage Increase: 92.30769230769232%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 176, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 177, Normal Time: 0.042, Slowdown Time: 0.036, Percentage Increase: -14.285714285714299%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 180, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 182, Normal Time: 0.035, Slowdown Time: 0.034, Percentage Increase: -2.8571428571428594%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 183, Normal Time: 0.0, Slowdown Time: 0.027, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 184, Normal Time: 0.029, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 185, Normal Time: 0.0, Slowdown Time: 0.033, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 186, Normal Time: 0.024, Slowdown Time: 0.029, Percentage Increase: 20.833333333333336%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 187, Normal Time: 0.0, Slowdown Time: 0.061, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 188, Normal Time: 0.0, Slowdown Time: 0.028, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 189, Normal Time: 0.025, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 191, Normal Time: 0.0, Slowdown Time: 0.037, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 192, Normal Time: 0.031, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 193, Normal Time: 0.0, Slowdown Time: 0.057, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 194, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 195, Normal Time: 0.024, Slowdown Time: 0.023, Percentage Increase: -4.1666666666666705%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 196, Normal Time: 1.13, Slowdown Time: 1.237, Percentage Increase: 9.469026548672584%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 197, Normal Time: 3.379, Slowdown Time: 6.891, Percentage Increase: 103.93607576205979%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 198, Normal Time: 0.134, Slowdown Time: 0.277, Percentage Increase: 106.71641791044777%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 199, Normal Time: 1.932, Slowdown Time: 3.434, Percentage Increase: 77.74327122153211%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 200, Normal Time: 0.05, Slowdown Time: 0.577, Percentage Increase: 1053.9999999999998%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 201, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 202, Normal Time: 0.543, Slowdown Time: 0.727, Percentage Increase: 33.885819521178625%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 203, Normal Time: 1.271, Slowdown Time: 1.4, Percentage Increase: 10.149488591660111%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 204, Normal Time: 0.037, Slowdown Time: 0.073, Percentage Increase: 97.29729729729729%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 205, Normal Time: 0.054, Slowdown Time: 0.053, Percentage Increase: -1.8518518518518534%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 206, Normal Time: 0.001, Slowdown Time: 0.002, Percentage Increase: 100.0%
Method: LoopBenchmarks::editDistanceLoop, Block ID: 207, Normal Time: 0.004, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::editDistanceLoop, Median Percentage Increase: 77.74327122153211%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 160, Normal Time: 0.003, Slowdown Time: 0.01, Percentage Increase: 233.33333333333334%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 70, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 71, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 73, Normal Time: 0.002, Slowdown Time: 0.001, Percentage Increase: -50.0%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 10, Normal Time: 0.004, Slowdown Time: 0.001, Percentage Increase: -75.0%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 11, Normal Time: 0.001, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 12, Normal Time: 0.009, Slowdown Time: 0.005, Percentage Increase: -44.444444444444436%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 76, Normal Time: 0.016, Slowdown Time: 0.028, Percentage Increase: 75.0%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 13, Normal Time: 0.006, Slowdown Time: 0.004, Percentage Increase: -33.33333333333333%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 77, Normal Time: 3.008, Slowdown Time: 6.01, Percentage Increase: 99.80053191489361%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 78, Normal Time: 2.279, Slowdown Time: 4.77, Percentage Increase: 109.30232558139534%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 79, Normal Time: 0.001, Slowdown Time: 0.302, Percentage Increase: 30100.0%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 80, Normal Time: 0.04, Slowdown Time: 0.035, Percentage Increase: -12.499999999999993%
Method: LoopBenchmarks::bubbleSortLoop, Block ID: 159, Normal Time: 0.017, Slowdown Time: 0.004, Percentage Increase: -76.47058823529413%
Method: LoopBenchmarks::bubbleSortLoop, Median Percentage Increase: 109.30232558139534%
Method: LoopBenchmarks::monteCarloPiLoop, Block ID: 10, Normal Time: 0.005, Slowdown Time: 0.006, Percentage Increase: 20.0%
Method: LoopBenchmarks::monteCarloPiLoop, Block ID: 11, Normal Time: 0.052, Slowdown Time: 0.035, Percentage Increase: -32.69230769230768%
Method: LoopBenchmarks::monteCarloPiLoop, Block ID: 27, Normal Time: 0.524, Slowdown Time: 1.057, Percentage Increase: 101.71755725190839%
Method: LoopBenchmarks::monteCarloPiLoop, Block ID: 12, Normal Time: 0.004, Slowdown Time: 0.003, Percentage Increase: -25.0%
Method: LoopBenchmarks::monteCarloPiLoop, Block ID: 28, Normal Time: 3.788, Slowdown Time: 7.397, Percentage Increase: 95.27455121436115%
Method: LoopBenchmarks::monteCarloPiLoop, Block ID: 29, Normal Time: 0.458, Slowdown Time: 0.955, Percentage Increase: 108.51528384279474%
Method: LoopBenchmarks::monteCarloPiLoop, Median Percentage Increase: 98.49605423313477%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 177, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 178, Normal Time: 0.252, Slowdown Time: 0.279, Percentage Increase: 10.714285714285724%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 51, Normal Time: 0.003, Slowdown Time: 0.002, Percentage Increase: -33.33333333333333%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 179, Normal Time: 0.772, Slowdown Time: 1.54, Percentage Increase: 99.48186528497409%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 180, Normal Time: 2.368, Slowdown Time: 4.263, Percentage Increase: 80.02533783783784%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 181, Normal Time: 0.005, Slowdown Time: 0.431, Percentage Increase: 8520.0%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 182, Normal Time: 0.375, Slowdown Time: 0.431, Percentage Increase: 14.933333333333332%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 184, Normal Time: 0.001, Slowdown Time: 0.002, Percentage Increase: 100.0%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 329, Normal Time: 0.003, Slowdown Time: 0.002, Percentage Increase: -33.33333333333333%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 170, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 331, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::matrixMultiplyLoop, Block ID: 174, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::matrixMultiplyLoop, Median Percentage Increase: 89.75360156140596%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 453, Normal Time: 0.604, Slowdown Time: 1.195, Percentage Increase: 97.84768211920532%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 454, Normal Time: 0.955, Slowdown Time: 2.209, Percentage Increase: 131.30890052356023%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 455, Normal Time: 0.259, Slowdown Time: 0.32, Percentage Increase: 23.552123552123554%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 456, Normal Time: 0.388, Slowdown Time: 0.33, Percentage Increase: -14.948453608247423%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 457, Normal Time: 0.527, Slowdown Time: 1.386, Percentage Increase: 162.99810246679314%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 458, Normal Time: 0.466, Slowdown Time: 0.274, Percentage Increase: -41.201716738197426%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 459, Normal Time: 0.239, Slowdown Time: 0.288, Percentage Increase: 20.5020920502092%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 460, Normal Time: 0.049, Slowdown Time: 0.351, Percentage Increase: 616.3265306122448%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 461, Normal Time: 0.123, Slowdown Time: 0.316, Percentage Increase: 156.91056910569105%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 462, Normal Time: 0.023, Slowdown Time: 0.027, Percentage Increase: 17.391304347826086%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 463, Normal Time: 0.03, Slowdown Time: 0.068, Percentage Increase: 126.66666666666669%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 464, Normal Time: 0.012, Slowdown Time: 0.028, Percentage Increase: 133.33333333333331%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 465, Normal Time: 0.01, Slowdown Time: 0.035, Percentage Increase: 250.0%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 466, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 22, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::parseJsonLoop, Block ID: 23, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::parseJsonLoop, Median Percentage Increase: 131.30890052356023%
Method: LoopBenchmarks::sieveLoop, Block ID: 64, Normal Time: 0.023, Slowdown Time: 0.57, Percentage Increase: 2378.260869565217%
Method: LoopBenchmarks::sieveLoop, Block ID: 65, Normal Time: 0.014, Slowdown Time: 0.008, Percentage Increase: -42.857142857142854%
Method: LoopBenchmarks::sieveLoop, Block ID: 198, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 199, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 73, Normal Time: 0.033, Slowdown Time: 0.113, Percentage Increase: 242.42424242424244%
Method: LoopBenchmarks::sieveLoop, Block ID: 74, Normal Time: 0.615, Slowdown Time: 0.792, Percentage Increase: 28.780487804878057%
Method: LoopBenchmarks::sieveLoop, Block ID: 75, Normal Time: 0.23, Slowdown Time: 0.377, Percentage Increase: 63.91304347826087%
Method: LoopBenchmarks::sieveLoop, Block ID: 76, Normal Time: 0.388, Slowdown Time: 0.871, Percentage Increase: 124.48453608247422%
Method: LoopBenchmarks::sieveLoop, Block ID: 16, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 592, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 81, Normal Time: 0.295, Slowdown Time: 0.6, Percentage Increase: 103.38983050847459%
Method: LoopBenchmarks::sieveLoop, Block ID: 82, Normal Time: 0.0, Slowdown Time: 0.013, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 83, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 668, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 669, Normal Time: 0.003, Slowdown Time: 0.003, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 671, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 554, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 555, Normal Time: 0.001, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 556, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 431, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::sieveLoop, Block ID: 432, Normal Time: 0.003, Slowdown Time: 0.002, Percentage Increase: -33.33333333333333%
